mq2,mq7,temp,humidity,air_quality
257,127,42,61,Moderate
212,115,33,55,Moderate
390,195,38,52,Harmful
258,76,38,40,Moderate
310,178,25,58,Harmful
180,48,33,32,Safe
334,161,33,43,Harmful
394,192,41,69,Harmful
238,70,29,74,Moderate
227,111,25,55,Moderate
303,179,25,31,Harmful
245,102,26,31,Moderate
109,38,33,54,Safe
171,45,40,55,Safe
135,51,31,62,Safe
106,34,30,69,Safe
332,198,37,43,Harmful
182,48,29,33,Safe
257,100,29,51,Moderate
211,86,30,60,Moderate
360,219,35,43,Harmful
419,237,28,56,Harmful
359,204,40,41,Harmful
274,129,25,38,Moderate
226,81,39,54,Moderate
134,24,32,52,Safe
185,59,28,31,Safe
286,102,38,51,Moderate
205,82,26,73,Moderate
215,99,28,61,Moderate
358,211,25,31,Harmful
126,46,25,32,Safe
262,99,25,44,Moderate
203,111,38,58,Moderate
133,20,35,55,Safe
128,25,33,49,Safe
239,87,34,69,Moderate
124,47,36,57,Safe
116,41,41,43,Safe
154,46,25,47,Safe
165,40,42,41,Safe
230,134,35,46,Moderate
362,259,41,70,Harmful
423,238,36,73,Harmful
326,241,34,50,Harmful
190,25,29,53,Safe
287,90,28,63,Moderate
282,133,24,32,Moderate
246,89,32,75,Moderate
160,39,26,60,Safe
130,43,42,53,Safe
167,51,40,64,Safe
432,256,32,49,Harmful
153,55,40,73,Safe
347,233,40,46,Harmful
446,202,29,34,Harmful
221,129,24,35,Moderate
239,107,38,63,Moderate
364,199,38,36,Harmful
392,192,41,58,Harmful
141,62,24,68,Safe
410,250,24,37,Harmful
188,21,28,30,Safe
177,48,29,62,Safe
113,59,33,56,Safe
116,24,28,41,Safe
103,25,26,35,Safe
377,220,41,73,Harmful
389,171,26,49,Harmful
356,160,40,46,Harmful
215,99,28,59,Moderate
280,99,27,58,Moderate
165,64,37,73,Safe
227,74,35,39,Moderate
275,134,35,43,Moderate
228,138,31,68,Moderate
301,203,32,73,Harmful
402,222,33,75,Harmful
327,247,34,37,Harmful
234,130,35,54,Moderate
392,229,34,35,Harmful
179,58,36,57,Safe
400,251,24,60,Harmful
440,211,39,66,Harmful
278,120,40,36,Moderate
179,37,31,31,Safe
172,25,37,61,Safe
167,24,37,62,Safe
207,96,41,51,Moderate
201,100,37,63,Moderate
418,230,29,74,Harmful
223,114,42,43,Moderate
345,177,37,63,Harmful
272,131,33,39,Moderate
172,36,37,68,Safe
324,205,27,68,Harmful
118,43,32,74,Safe
223,113,30,65,Moderate
286,75,39,69,Moderate
227,107,29,37,Moderate
137,61,38,55,Safe
442,250,39,61,Harmful
316,186,30,39,Harmful
447,215,40,71,Harmful
233,135,37,68,Moderate
121,24,28,35,Safe
123,49,27,56,Safe
130,22,32,50,Safe
168,44,42,59,Safe
379,249,38,46,Harmful
116,60,24,41,Safe
285,115,32,70,Moderate
272,115,24,38,Moderate
406,202,26,67,Harmful
149,60,32,62,Safe
180,36,35,72,Safe
261,106,36,42,Moderate
153,60,30,69,Safe
130,65,30,45,Safe
341,244,24,68,Harmful
370,254,26,69,Harmful
210,74,30,30,Moderate
243,74,36,56,Moderate
210,120,32,61,Moderate
313,202,39,69,Harmful
202,71,28,34,Moderate
104,65,25,52,Safe
249,117,37,59,Moderate
123,42,41,57,Safe
342,174,41,53,Harmful
144,30,24,49,Safe
311,239,32,45,Harmful
319,176,26,74,Harmful
259,123,38,50,Moderate
203,123,41,32,Moderate
361,160,28,35,Harmful
137,46,25,70,Safe
100,60,33,64,Safe
393,201,36,54,Harmful
172,63,33,52,Safe
166,55,39,50,Safe
365,155,37,47,Harmful
449,177,38,35,Harmful
374,249,26,43,Harmful
234,132,29,30,Moderate
228,98,41,54,Moderate
240,122,33,73,Moderate
384,158,41,47,Harmful
155,53,27,34,Safe
105,65,25,47,Safe
237,72,42,64,Moderate
238,82,30,71,Moderate
172,44,29,40,Safe
445,237,27,37,Harmful
253,115,25,68,Moderate
281,123,41,58,Moderate
225,92,26,73,Moderate
265,100,26,63,Moderate
234,71,24,34,Moderate
230,93,33,53,Moderate
108,38,33,51,Safe
388,160,32,41,Harmful
113,60,36,34,Safe
171,40,40,35,Safe
111,58,39,53,Safe
357,230,32,74,Harmful
356,216,39,45,Harmful
134,29,39,67,Safe
373,240,27,50,Harmful
131,24,26,70,Safe
362,219,27,59,Harmful
418,247,25,37,Harmful
307,200,32,33,Harmful
280,88,28,45,Moderate
133,27,28,33,Safe
399,226,26,44,Harmful
223,137,27,43,Moderate
304,209,28,45,Harmful
217,77,38,71,Moderate
138,62,25,48,Safe
418,241,25,57,Harmful
360,246,27,59,Harmful
241,135,27,41,Moderate
229,97,39,61,Moderate
115,29,33,34,Safe
430,219,39,31,Harmful
122,23,40,43,Safe
215,99,35,60,Moderate
303,187,37,64,Harmful
248,139,32,73,Moderate
309,243,35,50,Harmful
145,49,27,40,Safe
180,63,41,64,Safe
362,179,34,66,Harmful
286,94,39,42,Moderate
257,78,29,38,Moderate
314,172,41,60,Harmful
422,186,41,33,Harmful
446,244,27,44,Harmful
421,226,30,59,Harmful
344,241,41,57,Harmful
239,136,25,36,Moderate
179,37,34,69,Safe
230,119,39,75,Moderate
260,93,31,57,Moderate
222,87,24,42,Moderate
346,155,29,58,Harmful
250,98,31,58,Moderate
272,81,31,74,Moderate
270,97,27,30,Moderate
116,64,26,43,Safe
163,42,37,36,Safe
213,73,29,35,Moderate
134,26,39,49,Safe
133,52,33,60,Safe
307,189,26,67,Harmful
370,209,34,64,Harmful
183,43,37,58,Safe
372,161,41,50,Harmful
264,102,31,66,Moderate
406,222,36,47,Harmful
267,130,30,73,Moderate
359,197,30,43,Harmful
357,163,42,35,Harmful
363,151,29,71,Harmful
171,35,32,58,Safe
427,164,34,64,Harmful
415,188,36,70,Harmful
381,203,41,59,Harmful
155,24,37,53,Safe
178,24,33,54,Safe
411,163,31,58,Harmful
275,91,31,43,Moderate
144,46,24,48,Safe
255,116,27,45,Moderate
153,33,24,47,Safe
282,91,32,32,Moderate
359,216,24,50,Harmful
107,48,29,70,Safe
398,155,28,58,Harmful
153,29,27,65,Safe
449,243,34,38,Harmful
346,257,32,49,Harmful
289,103,33,41,Moderate
217,91,24,58,Moderate
179,60,42,74,Safe
131,37,29,66,Safe
106,37,40,38,Safe
334,226,27,60,Harmful
147,43,38,48,Safe
169,23,24,50,Safe
301,186,33,73,Harmful
210,134,42,38,Moderate
341,176,41,44,Harmful
398,181,24,71,Harmful
379,194,32,62,Harmful
277,139,26,61,Moderate
398,247,27,37,Harmful
251,91,27,44,Moderate
265,125,31,63,Moderate
111,38,29,72,Safe
108,44,41,73,Safe
302,181,41,62,Harmful
401,223,28,71,Harmful
263,75,31,48,Moderate
227,114,27,50,Moderate
126,37,41,52,Safe
245,106,24,30,Moderate
167,43,36,74,Safe
235,113,28,62,Moderate
131,61,35,54,Safe
105,61,37,43,Safe
378,150,31,61,Harmful
152,57,36,66,Safe
163,41,31,53,Safe
157,27,26,45,Safe
141,43,33,40,Safe
172,51,35,53,Safe
423,171,35,58,Harmful
218,109,31,45,Moderate
150,20,38,31,Safe
419,180,27,46,Harmful
210,112,27,30,Moderate
240,89,36,52,Moderate
180,65,28,59,Safe
163,43,36,71,Safe
314,175,28,45,Harmful
226,120,38,67,Moderate
153,64,31,73,Safe
142,23,41,53,Safe
160,21,41,42,Safe
392,159,41,34,Harmful
139,46,36,66,Safe
109,62,36,57,Safe
265,105,40,34,Moderate
138,20,35,46,Safe
120,56,32,72,Safe
183,38,32,74,Safe
272,94,37,75,Moderate
213,102,36,44,Moderate
406,186,33,66,Harmful
128,39,27,62,Safe
214,99,35,53,Moderate
268,77,35,39,Moderate
321,193,30,63,Harmful
409,249,39,65,Harmful
150,26,28,40,Safe
265,138,30,64,Moderate
103,57,38,35,Safe
102,26,34,52,Safe
362,153,36,39,Harmful
128,33,31,35,Safe
247,82,41,51,Moderate
216,108,27,35,Moderate
365,153,38,34,Harmful
331,177,31,52,Harmful
318,217,41,33,Harmful
280,119,40,48,Moderate
274,114,28,39,Moderate
424,246,40,69,Harmful
415,181,27,75,Harmful
120,32,27,71,Safe
108,25,41,59,Safe
377,163,25,59,Harmful
397,216,31,49,Harmful
434,258,24,57,Harmful
111,58,38,33,Safe
376,187,35,65,Harmful
104,55,37,62,Safe
430,236,30,40,Harmful
253,101,36,47,Moderate
410,179,27,56,Harmful
254,77,31,74,Moderate
126,41,29,61,Safe
248,134,26,70,Moderate
259,120,31,52,Moderate
113,57,30,72,Safe
115,57,28,74,Safe
408,198,24,64,Harmful
202,110,24,63,Moderate
380,231,33,40,Harmful
335,221,32,60,Harmful
432,229,39,40,Harmful
247,93,37,54,Moderate
361,196,30,45,Harmful
290,130,39,47,Moderate
403,165,33,40,Harmful
100,57,26,52,Safe
174,45,34,74,Safe
219,79,36,55,Moderate
450,221,25,38,Harmful
155,52,24,65,Safe
203,126,32,33,Moderate
333,242,25,62,Harmful
141,33,36,72,Safe
155,45,35,36,Safe
358,226,35,50,Harmful
146,59,40,43,Safe
103,29,24,70,Safe
171,39,32,68,Safe
236,92,36,50,Moderate
176,56,33,73,Safe
334,216,25,44,Harmful
284,94,37,58,Moderate
444,175,37,63,Harmful
236,108,34,47,Moderate
138,29,27,43,Safe
124,44,39,49,Safe
229,117,33,32,Moderate
248,90,34,40,Moderate
140,35,31,64,Safe
208,82,29,30,Moderate
449,228,36,74,Harmful
356,159,42,39,Harmful
232,72,39,75,Moderate
111,61,25,47,Safe
304,164,41,32,Harmful
311,247,25,33,Harmful
395,208,37,74,Harmful
267,116,35,38,Moderate
115,34,41,58,Safe
420,203,25,48,Harmful
113,56,36,73,Safe
209,91,40,43,Moderate
207,97,31,32,Moderate
223,92,42,55,Moderate
300,189,24,31,Harmful
152,58,41,30,Safe
152,42,41,52,Safe
425,199,36,34,Harmful
105,28,24,37,Safe
246,120,36,48,Moderate
175,57,41,63,Safe
127,44,34,34,Safe
232,124,29,74,Moderate
412,212,30,53,Harmful
428,166,32,63,Harmful
268,112,28,75,Moderate
215,110,34,54,Moderate
152,64,30,47,Safe
182,45,32,56,Safe
146,26,38,32,Safe
149,36,38,32,Safe
325,204,33,56,Harmful
425,174,33,44,Harmful
227,107,25,34,Moderate
182,57,28,36,Safe
356,260,32,52,Harmful
243,84,24,67,Moderate
150,26,41,60,Safe
439,203,37,73,Harmful
126,59,30,41,Safe
312,254,31,56,Harmful
324,165,34,67,Harmful
232,75,31,59,Moderate
273,108,31,54,Moderate
442,157,28,34,Harmful
324,152,41,46,Harmful
444,198,28,62,Harmful
385,195,42,36,Harmful
213,111,26,30,Moderate
236,136,41,61,Moderate
286,89,31,50,Moderate
239,96,41,35,Moderate
133,40,39,72,Safe
129,41,38,63,Safe
170,38,28,71,Safe
232,119,33,56,Moderate
319,179,39,72,Harmful
329,158,42,37,Harmful
166,23,31,37,Safe
149,33,39,72,Safe
260,125,25,52,Moderate
147,53,34,62,Safe
372,222,26,52,Harmful
156,35,38,64,Safe
181,35,24,75,Safe
427,190,27,47,Harmful
392,206,38,42,Harmful
387,165,30,62,Harmful
220,72,32,57,Moderate
339,233,28,55,Harmful
329,159,33,49,Harmful
104,65,40,71,Safe
132,49,39,63,Safe
144,36,32,70,Safe
429,201,25,33,Harmful
442,223,35,31,Harmful
343,207,30,41,Harmful
186,43,31,32,Safe
336,192,29,34,Harmful
130,20,40,73,Safe
135,54,40,50,Safe
150,40,26,74,Safe
142,43,30,62,Safe
190,61,31,74,Safe
361,150,39,46,Harmful
395,215,29,60,Harmful
274,99,35,52,Moderate
120,28,42,51,Safe
148,49,29,30,Safe
220,71,32,36,Moderate
427,163,41,45,Harmful
285,130,32,41,Moderate
128,40,24,55,Safe
220,98,29,74,Moderate
167,60,42,44,Safe
108,61,39,74,Safe
439,196,33,60,Harmful
344,237,32,37,Harmful
159,52,26,45,Safe
436,182,39,44,Harmful
148,22,41,74,Safe
116,55,27,71,Safe
164,33,27,75,Safe
386,174,34,65,Harmful
212,86,32,55,Moderate
215,100,32,55,Moderate
289,130,34,38,Moderate
286,78,28,66,Moderate
242,91,41,39,Moderate
181,64,40,72,Safe
390,191,24,70,Harmful
153,28,35,31,Safe
185,48,26,70,Safe
408,181,32,62,Harmful
252,99,42,49,Moderate
103,56,41,65,Safe
184,33,33,34,Safe
316,214,27,71,Harmful
364,205,37,44,Harmful
112,44,29,38,Safe
244,87,26,39,Moderate
100,53,28,53,Safe
428,234,30,33,Harmful
373,161,41,71,Harmful
218,106,29,30,Moderate
438,244,33,33,Harmful
108,46,34,33,Safe
184,53,27,50,Safe
417,159,27,31,Harmful
378,233,33,44,Harmful
349,167,35,74,Harmful
119,40,28,62,Safe
262,140,39,30,Moderate
430,205,36,54,Harmful
112,37,32,57,Safe
314,204,34,55,Harmful
118,61,42,68,Safe
356,252,38,73,Harmful
203,85,24,60,Moderate
423,219,28,42,Harmful
151,34,42,49,Safe
226,131,37,70,Moderate
372,181,41,35,Harmful
373,217,25,37,Harmful
229,115,28,47,Moderate
387,174,32,68,Harmful
413,177,36,52,Harmful
130,39,24,52,Safe
258,79,39,44,Moderate
107,22,42,64,Safe
203,123,27,44,Moderate
287,103,36,34,Moderate
367,213,29,36,Harmful
225,121,38,52,Moderate
257,79,29,40,Moderate
393,188,29,40,Harmful
168,57,27,33,Safe
280,115,32,62,Moderate
267,139,33,74,Moderate
137,42,30,70,Safe
264,92,30,65,Moderate
269,112,24,68,Moderate
414,256,42,43,Harmful
446,214,34,42,Harmful
189,26,26,58,Safe
122,44,31,72,Safe
239,138,31,64,Moderate
150,27,36,67,Safe
277,109,29,57,Moderate
251,98,41,62,Moderate
243,99,36,35,Moderate
322,259,39,42,Harmful
215,138,31,67,Moderate
251,136,40,71,Moderate
290,131,38,62,Moderate
141,55,38,50,Safe
247,114,28,55,Moderate
126,40,31,65,Safe
281,139,36,58,Moderate
220,121,41,56,Moderate
386,169,41,47,Harmful
150,59,32,53,Safe
269,70,25,61,Moderate
107,28,42,31,Safe
277,93,35,42,Moderate
377,206,38,74,Harmful
227,112,26,37,Moderate
397,206,30,52,Harmful
100,21,42,45,Safe
122,45,31,40,Safe
136,55,36,63,Safe
258,86,35,33,Moderate
377,241,42,43,Harmful
187,21,40,67,Safe
281,86,40,65,Moderate
224,112,29,75,Moderate
395,163,39,42,Harmful
228,110,32,32,Moderate
445,196,24,60,Harmful
159,25,37,48,Safe
221,122,35,36,Moderate
100,30,39,46,Safe
209,89,29,37,Moderate
314,192,37,46,Harmful
384,213,33,71,Harmful
436,178,29,69,Harmful
440,198,29,66,Harmful
205,95,34,57,Moderate
118,31,35,57,Safe
422,234,41,33,Harmful
365,209,38,61,Harmful
336,216,37,62,Harmful
314,241,29,43,Harmful
324,249,42,55,Harmful
417,243,27,66,Harmful
276,120,24,54,Moderate
244,102,33,49,Moderate
125,65,24,54,Safe
381,244,40,64,Harmful
201,107,35,50,Moderate
280,109,35,51,Moderate
205,100,38,36,Moderate
107,60,38,66,Safe
128,28,33,50,Safe
345,193,40,56,Harmful
269,122,31,65,Moderate
181,39,34,69,Safe
146,40,24,62,Safe
325,184,40,54,Harmful
398,240,35,56,Harmful
346,153,28,35,Harmful
380,238,25,73,Harmful
244,80,40,49,Moderate
137,27,36,51,Safe
274,109,25,64,Moderate
331,218,29,37,Harmful
101,42,42,55,Safe
138,27,37,71,Safe
330,233,26,60,Harmful
345,221,30,66,Harmful
424,150,25,52,Harmful
412,208,41,69,Harmful
156,54,35,63,Safe
205,96,38,30,Moderate
245,108,32,66,Moderate
418,191,39,62,Harmful
100,47,37,65,Safe
325,154,28,60,Harmful
444,252,42,66,Harmful
118,52,35,60,Safe
166,44,35,44,Safe
407,203,26,46,Harmful
273,140,25,64,Moderate
365,246,36,53,Harmful
219,131,42,38,Moderate
375,226,32,42,Harmful
175,39,34,31,Safe
187,49,27,53,Safe
156,48,35,31,Safe
349,201,30,73,Harmful
114,42,39,44,Safe
383,206,32,41,Harmful
317,159,36,64,Harmful
201,134,32,33,Moderate
139,24,31,34,Safe
274,111,38,55,Moderate
180,47,26,50,Safe
389,180,36,57,Harmful
117,50,35,47,Safe
276,82,42,33,Moderate
328,193,29,35,Harmful
267,138,40,67,Moderate
169,53,28,44,Safe
144,54,28,32,Safe
428,159,29,69,Harmful
415,203,36,51,Harmful
426,184,39,72,Harmful
109,54,28,65,Safe
154,31,34,53,Safe
118,35,29,66,Safe
186,31,27,73,Safe
263,139,39,49,Moderate
251,109,41,55,Moderate
236,81,37,40,Moderate
324,223,41,73,Harmful
116,53,27,50,Safe
158,23,27,58,Safe
163,25,27,37,Safe
358,166,41,48,Harmful
387,156,31,68,Harmful
166,38,26,56,Safe
274,80,24,43,Moderate
149,45,40,51,Safe
141,28,33,56,Safe
275,72,29,57,Moderate
153,28,39,37,Safe
217,86,37,48,Moderate
161,35,25,35,Safe
420,156,25,44,Harmful
226,81,35,66,Moderate
155,49,32,73,Safe
436,186,35,48,Harmful
242,121,37,74,Moderate
163,56,31,33,Safe
419,168,39,46,Harmful
160,56,29,42,Safe
164,27,30,58,Safe
136,31,27,39,Safe
335,169,29,45,Harmful
148,26,37,65,Safe
122,55,27,31,Safe
426,166,33,51,Harmful
226,127,24,57,Moderate
339,195,24,38,Harmful
146,58,27,38,Safe
282,102,30,32,Moderate
393,231,30,33,Harmful
270,117,28,43,Moderate
201,118,39,31,Moderate
110,42,30,75,Safe
394,237,37,31,Harmful
443,170,35,65,Harmful
227,134,32,44,Moderate
141,39,29,51,Safe
336,189,31,71,Harmful
114,47,26,64,Safe
224,122,35,54,Moderate
426,233,40,47,Harmful
432,190,36,45,Harmful
168,48,36,45,Safe
133,53,40,31,Safe
167,56,32,59,Safe
378,212,34,72,Harmful
334,220,24,70,Harmful
202,104,29,33,Moderate
152,39,27,64,Safe
350,237,38,69,Harmful
171,44,42,34,Safe
391,246,34,54,Harmful
416,203,25,42,Harmful
396,212,41,40,Harmful
336,230,41,70,Harmful
190,25,35,40,Safe
100,63,33,41,Safe
167,51,37,73,Safe
393,211,26,61,Harmful
364,196,26,50,Harmful
438,224,33,55,Harmful
333,232,38,70,Harmful
232,80,40,68,Moderate
300,161,32,63,Harmful
391,193,36,58,Harmful
117,43,41,43,Safe
442,244,37,48,Harmful
138,32,29,52,Safe
274,100,41,65,Moderate
202,80,35,68,Moderate
322,196,27,60,Harmful
441,235,42,52,Harmful
329,174,41,63,Harmful
319,227,34,73,Harmful
369,183,30,37,Harmful
377,177,33,48,Harmful
249,113,25,66,Moderate
364,208,25,64,Harmful
167,27,26,75,Safe
278,87,35,42,Moderate
289,109,25,44,Moderate
254,131,33,34,Moderate
216,109,27,38,Moderate
119,25,40,75,Safe
112,47,24,44,Safe
100,55,33,38,Safe
339,211,41,64,Harmful
126,47,28,34,Safe
139,20,24,39,Safe
171,40,38,30,Safe
157,61,32,43,Safe
381,247,42,57,Harmful
351,223,40,40,Harmful
234,118,40,38,Moderate
407,233,38,75,Harmful
222,102,29,43,Moderate
180,64,25,57,Safe
164,52,34,52,Safe
253,125,30,35,Moderate
344,251,33,67,Harmful
404,157,41,49,Harmful
347,174,33,68,Harmful
263,132,39,51,Moderate
306,231,31,31,Harmful
279,140,28,55,Moderate
172,20,36,56,Safe
305,205,25,67,Harmful
240,136,36,57,Moderate
302,231,27,61,Harmful
393,220,40,72,Harmful
258,104,27,48,Moderate
285,121,38,67,Moderate
184,46,25,34,Safe
285,101,26,49,Moderate
277,121,37,67,Moderate
283,129,25,66,Moderate
189,60,35,40,Safe
377,172,27,48,Harmful
388,206,25,70,Harmful
282,113,41,33,Moderate
190,39,31,68,Safe
285,136,37,58,Moderate
178,51,39,60,Safe
250,118,40,63,Moderate
144,38,28,35,Safe
287,75,33,33,Moderate
265,89,29,43,Moderate
415,250,30,70,Harmful
337,233,25,71,Harmful
243,74,34,31,Moderate
219,108,30,41,Moderate
289,87,27,63,Moderate
105,44,29,34,Safe
394,203,27,60,Harmful
309,170,30,55,Harmful
421,179,32,44,Harmful
213,134,26,53,Moderate
213,90,38,48,Moderate
105,36,24,52,Safe
271,84,38,32,Moderate
278,80,24,45,Moderate
264,97,29,32,Moderate
383,233,28,50,Harmful
140,57,32,37,Safe
119,33,34,63,Safe
317,222,29,39,Harmful
131,60,35,58,Safe
211,115,29,33,Moderate
409,183,38,74,Harmful
438,161,36,69,Harmful
150,25,27,61,Safe
326,241,32,60,Harmful
301,155,25,58,Harmful
125,63,41,73,Safe
391,219,39,51,Harmful
372,196,24,58,Harmful
329,151,25,38,Harmful
121,54,26,37,Safe
340,233,34,54,Harmful
260,113,38,41,Moderate
184,53,27,47,Safe
312,177,32,62,Harmful
249,91,36,35,Moderate
159,20,26,37,Safe
314,228,25,72,Harmful
117,54,41,60,Safe
359,233,38,46,Harmful
333,153,37,66,Harmful
277,125,40,30,Moderate
135,48,34,35,Safe
423,156,34,56,Harmful
117,44,40,75,Safe
111,34,27,63,Safe
436,209,35,44,Harmful
220,88,24,30,Moderate
450,157,26,56,Harmful
414,181,36,47,Harmful
200,114,35,68,Moderate
334,258,27,70,Harmful
146,39,28,49,Safe
368,231,24,64,Harmful
325,208,26,63,Harmful
263,127,24,59,Moderate
408,185,31,43,Harmful
347,249,42,41,Harmful
169,56,32,68,Safe
226,93,37,30,Moderate
130,37,39,41,Safe
171,46,34,66,Safe
182,47,27,51,Safe
265,126,34,75,Moderate
349,210,33,32,Harmful
307,167,38,57,Harmful
281,79,25,49,Moderate
211,131,33,38,Moderate
255,70,38,30,Moderate
284,84,42,56,Moderate
201,82,35,74,Moderate
175,51,34,75,Safe
348,250,40,39,Harmful
217,72,27,59,Moderate
336,239,34,38,Harmful
117,46,25,52,Safe
176,47,42,71,Safe
145,23,35,47,Safe
174,26,25,42,Safe
443,157,30,38,Harmful
367,212,28,37,Harmful
400,245,30,68,Harmful
175,41,35,47,Safe
185,25,32,58,Safe
307,156,41,74,Harmful
130,59,27,70,Safe
364,192,28,72,Harmful
406,227,38,42,Harmful
128,54,37,39,Safe
189,25,33,62,Safe
129,42,24,33,Safe
270,82,41,69,Moderate
252,120,34,51,Moderate
226,100,28,50,Moderate
383,186,32,37,Harmful
244,127,33,45,Moderate
158,49,27,46,Safe
364,241,39,61,Harmful
303,205,27,56,Harmful
336,202,38,70,Harmful
275,87,25,36,Moderate
387,229,27,46,Harmful
387,162,27,45,Harmful
208,79,41,64,Moderate
263,79,39,72,Moderate
334,185,41,62,Harmful
350,171,35,39,Harmful
249,106,40,71,Moderate
107,37,33,54,Safe
412,216,29,53,Harmful
234,79,42,65,Moderate
290,111,31,66,Moderate
283,88,26,67,Moderate
150,43,36,38,Safe
288,112,34,56,Moderate
127,54,39,65,Safe
187,34,33,71,Safe
219,91,24,36,Moderate
394,242,37,35,Harmful
145,22,39,38,Safe
253,87,31,39,Moderate
316,166,28,70,Harmful
449,157,37,61,Harmful
336,164,25,32,Harmful
136,47,40,57,Safe
158,45,29,66,Safe
172,63,27,43,Safe
375,227,26,37,Harmful
129,24,31,37,Safe
169,24,41,53,Safe
156,35,42,61,Safe
240,113,34,48,Moderate
102,34,36,57,Safe
406,212,30,31,Harmful
212,83,24,56,Moderate
165,21,36,46,Safe
354,205,35,73,Harmful
396,151,28,65,Harmful
277,121,37,73,Moderate
227,120,37,65,Moderate
134,37,34,74,Safe
